SCATS_Number,Time,Average_Traffic_Volume
3180,15:45,144.17
3180,16:00,141.33
3180,16:15,139.31
3180,16:30,138.63
3180,16:45,145.04
3180,17:00,151.29
3180,17:15,153.18
3180,17:30,153.68
3180,17:45,153.38
3180,18:00,150.45
3180,18:15,140.40
3180,18:30,126.02
3180,18:45,118.41
3180,19:00,108.29
3180,19:15,97.60
3180,19:30,82.32
3180,19:45,75.99
3180,20:00,66.14
3180,20:15,62.22
3180,20:30,61.17
3180,20:45,61.04
3180,21:00,58.76
3180,21:15,56.19
3180,21:30,50.22
3180,21:45,49.33
3180,22:00,44.80
3180,22:15,43.37
3180,22:30,40.80
3180,22:45,36.00
3180,23:00,33.51
3180,23:15,28.09
3180,23:30,26.05
3180,23:45,22.10
3662,00:00,36.07
3662,00:15,31.48
3662,00:30,29.73
3662,00:45,23.92
3662,01:00,19.73
3662,01:15,17.86
3662,01:30,17.05
3662,01:45,13.27
3662,02:00,11.67
3662,02:15,11.02
3662,02:30,10.06
3662,02:45,10.44
3662,03:00,10.69
3662,03:15,10.52
3662,03:30,9.62
3662,03:45,9.71
3662,04:00,10.44
3662,04:15,10.21
3662,04:30,12.09
3662,04:45,15.60
3662,05:00,19.01
3662,05:15,24.55
3662,05:30,33.77
3662,05:45,43.56
3662,06:00,52.52
3662,06:15,74.07
3662,06:30,104.09
3662,06:45,132.91
3662,07:00,163.34
3662,07:15,175.22
3662,07:30,177.02
3662,07:45,179.56
3662,08:00,186.79
3662,08:15,185.27
3662,08:30,195.56
3662,08:45,193.06
3662,09:00,184.82
3662,09:15,178.28
3662,09:30,159.21
3662,09:45,159.10
3662,10:00,151.31
3662,10:15,150.60
3662,10:30,147.65
3662,10:45,153.97
3662,11:00,145.85
3662,11:15,152.23
3662,11:30,154.50
3662,11:45,156.53
3662,12:00,155.81
3662,12:15,160.46
3662,12:30,157.06
3662,12:45,156.58
3662,13:00,153.22
3662,13:15,154.66
3662,13:30,155.02
3662,13:45,150.37
3662,14:00,153.57
3662,14:15,158.61
3662,14:30,158.79
3662,14:45,163.16
3662,15:00,174.25
3662,15:15,183.58
3662,15:30,179.85
3662,15:45,173.56
3662,16:00,175.31
3662,16:15,174.86
3662,16:30,180.27
3662,16:45,179.12
3662,17:00,185.02
3662,17:15,195.19
3662,17:30,200.01
3662,17:45,197.14
3662,18:00,194.69
3662,18:15,189.03
3662,18:30,173.81
3662,18:45,165.18
3662,19:00,149.61
3662,19:15,137.85
3662,19:30,120.85
3662,19:45,111.81
3662,20:00,101.44
3662,20:15,94.11
3662,20:30,88.88
3662,20:45,82.75
3662,21:00,82.57
3662,21:15,86.70
3662,21:30,79.15
3662,21:45,75.93
3662,22:00,71.10
3662,22:15,66.76
3662,22:30,63.74
3662,22:45,59.21
3662,23:00,54.65
3662,23:15,47.90
3662,23:30,45.08
3662,23:45,41.31
3682,00:00,23.76
3682,00:15,21.38
3682,00:30,17.65
3682,00:45,14.35
3682,01:00,12.00
3682,01:15,11.14
3682,01:30,9.43
3682,01:45,7.53
3682,02:00,6.15
3682,02:15,6.15
3682,02:30,5.15
3682,02:45,5.47
3682,03:00,5.35
3682,03:15,5.22
3682,03:30,5.03
3682,03:45,5.28
3682,04:00,5.07
